country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,bias0,bias1,var0,var1,RMSE_reduction_topcode,country_string
HND,-.47675097,.17881216,.48007724,-.096323207,-.032572053,-.2928552,.02743461,-.010369051,.021316366,.0020259945,-.004446622,-.004446622,.031595215,.12190314,.0086046439,.0094661564,.024013231,.007396746,.0040850937,.0049576657,.0090427594,.45175299,-.004446622,.003114451,-.0042822948,.0075610732,.00016432707,.000024601677,.000024551447,.0040850937,HND
HRV,-.015297757,.04241918,-.35001141,-.17199673,.46758634,-.12997486,-.0042381343,-.026862593,.012625203,.0046772794,-.0046840729,-.0046840729,.027156277,.30483416,.0060275849,.029678831,.029137384,.0044869408,.0013978564,.0065766172,.0079744738,.17529137,-.0046840729,-.0091757895,-.0046792966,-.0044917171,4.7760918e-06,.000043416709,.000043251872,.0013978564,HRV
HUN,.26845446,.18672135,.42972997,-.0041792798,.36580116,.37716484,.014088154,-.017188609,.02016411,-.0037297769,.00076001493,.00076001493,.018699981,.063881002,.010437801,.010645049,.024476189,.0025527894,.00085748406,.0049649137,.0058223978,.14727335,.00076001493,-.0023209199,.00023186949,-.0030809348,-.00052814541,.000024408158,.000024371431,.00085748406,HUN
IDN,-.16017601,.31032017,-.27233952,.19439264,.19689389,-.54803795,.021531928,.019154191,.058950122,.004283851,.012612797,.012612797,.0087035391,.055513959,.0029692347,.0079312641,.0087856278,.011155194,.010863642,.0044016903,.015265333,.71165448,.012612797,.027765391,.016610198,.015152593,.0039973999,3.4292873e-06,3.3956701e-06,.010863642,IDN
IND,-.43278173,-.43113288,.13883287,.23003653,-.11127277,.1782888,.0069850576,.015224674,.072303839,-.00039782308,.020470928,.020470928,.0093707796,.037282288,.011986361,.00051165378,.015343266,.0050696442,.0028621713,.0030912736,.0059534446,.48075885,.020470928,.025559101,.020452401,.0050881719,-.000018527709,9.5540099e-06,9.5556288e-06,.0028621713,IND
IRL,-.1880554,-.021615459,.52427542,-.026354477,.57089263,.55407494,.0067904103,-.065807097,.057349395,-.00036884437,.011352648,.011352648,.035660073,.070959941,.046444155,.0066845566,.063145347,.0022598624,.00023220305,.012650289,.012882492,.0180247,.011352648,.0089114932,.011171355,-.0024411553,-.00018129269,.00015999934,.00015999693,.00023220305,IRL
IRN,.073837109,-.099901408,-.083644286,.29482448,-.54393905,-.034434237,.01504638,-.012154173,.018468114,.00043894487,-.016546547,-.016546547,.016418081,.12734699,.016564066,.0020167201,.057364736,.0056541935,.0013290334,.011543486,.01287252,.10324579,-.016546547,-.022243585,-.016503703,-.0056970385,.000042845219,.00013324551,.00013325024,.0013290334,IRN
IRQ,.00010686332,-.1312016,.42593035,.2464899,.5923025,.48748192,.032736834,.071407765,.068070948,.0053252522,-.0083675971,-.0083675971,.02214914,.078764729,.036610499,.011933945,.051461972,.0024543689,.00034026554,.01032505,.010665315,.031903937,-.0083675971,-.0056832721,-.0085975537,.0026843252,-.00022995632,.00010654335,.00010655377,.00034026554,IRQ
ISR,.041849375,-.20746146,.025155963,-.13872108,-.03948551,.31095815,.025581717,.085816614,.033681832,.0090448698,.0011269128,.0011269128,.0058214772,.17822024,.0048872055,.024243014,.011698895,.0029364438,.0022180176,.0036346426,.0058526602,.37897599,.0011269128,.0061987289,-.0010084595,.005071816,-.0021353723,8.5303127e-06,8.6508117e-06,.0022180176,ISR
ITA,.1167243,.11887828,-.50694776,-.031275813,.34317058,.087896645,.00073495781,-.028061325,.0038464565,-.0026875085,-.0056901383,-.0056901383,.013078682,.090796508,.0033948682,.015414896,.014711965,.0021495475,.00087063975,.003098367,.0039690067,.21935959,-.0056901383,-.0081829075,-.00603336,-.0024927694,-.00034322182,9.5391160e-06,9.4820771e-06,.00087063975,ITA
