country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,bias0,bias1,var0,var1,RMSE_reduction_topcode,country_string
IRQ,-.38955641,-.22978824,.19535865,.28698725,-.63411027,.039690625,.029754071,.1220721,.030141372,-.0041448292,.063662082,.063662082,.0066836271,.31507561,.056451157,.023706824,.2371316,-.0002289664,-.000013237919,.047583535,.047570299,-.00027828119,.063662082,.065671407,.06142379,.0020093266,-.0022382932,.0022588959,.002259183,-.000013237919,IRQ
ISR,-.72968554,-.62881231,.47447401,-.079928935,.36004856,.32297814,.026427906,.11039022,.038990058,-.0040503968,.0046780957,.0046780957,.013564413,.36685681,.016527129,.01026282,.018926488,.031858943,.027185978,.00527432,.032460298,.83751476,.0046780957,.036714748,.0048558051,.032036651,.00017770934,.000027323909,.000027786871,.027185978,ISR
ITA,.065006249,-.3677372,-.64703488,-.17746623,.58199793,-.32938892,.010925348,-.04209429,.021537703,-.0011029289,-.0059768627,-.0059768627,.0082421144,.042606648,.0031079254,.013988795,.0095788548,.0040754341,.0030344659,.0020610907,.0050955568,.59551215,-.0059768627,-.010681887,-.0066064531,-.0047050244,-.00062959024,3.8274443e-06,3.8517110e-06,.0030344659,ITA
JAM,.58838123,.001939823,.1548778,.354608,.39231998,.27720207,.014213491,.019254079,.019125545,-.003302377,-.0087557724,-.0087557724,.031057069,.058994174,.0091678575,.0034798149,.022424767,.0024632565,.00076798326,.0045336098,.0053015933,.14485896,-.0087557724,-.011520327,-.0090570701,-.0027645545,-.00030129793,.000020464129,.000020462838,.00076798326,JAM
JOR,-.14133187,.055185717,-.2974216,.054476704,.70162767,.14693025,.031835765,.0057559609,.043916546,-.0061393012,.0088932272,.0088932272,.021360924,.10472945,.021412833,.017585289,.021981472,.00059052341,.0001196899,.0045586359,.0046783257,.025583917,.0088932272,.010081188,.0082957894,.0011879611,-.00059743767,.000020475482,.00002042423,.0001196899,JOR
JPN,-.37604854,-.29910174,.0089566307,-.0069590234,-.19230333,.017284248,-.00098408188,-.010251384,.019579517,-.006562545,.0024865428,.0024865428,.0084462566,.092838623,.010614303,.029084904,.0081383698,.0023406411,.0011722018,.0018754856,.0030476875,.3846201,.0024865428,.0049060695,.0024076572,.0024195267,-.000078885569,3.4342895e-06,3.5112234e-06,.0011722018,JPN
KAZ,-.034046609,.047146238,-.12857847,-.053929932,.49607357,.036761262,.014704676,.031978302,.015304664,-.00035535829,.043203697,.043203697,.027195357,.4102833,.029692572,.0040226718,.032599021,.0022244311,.0003189487,.0077033248,.0080222739,.039757896,.043203697,.045439452,.043192372,.0022357565,-.000011325372,.000059358266,.000059341084,.0003189487,KAZ
KEN,-.19046883,-.11102638,-.41434571,.34838897,-.3515847,.040105354,.033720806,.14333759,.039238296,-.0012873044,-.0094554191,-.0094554191,.0075123915,.57262206,.016626433,.0061237016,.021528546,.027550962,.021909792,.0071946736,.029104466,.75279832,-.0094554191,-.037665617,-.0087961815,-.028210199,.00065923732,.000051254621,.000051328734,.021909792,KEN
KGZ,-.58822697,.32792616,-.044554923,-.3093954,-.0084295413,-.27274492,.022268496,.093811341,.00025187089,.00042149195,.030254034,.030254034,.012690565,.29112723,.026474215,.0030943747,.032100853,.012833292,.007597466,.0070494046,.01464687,.51870918,.030254034,.043090571,.03025079,.012836537,-3.2449550e-06,.000049754137,.000049694096,.007597466,KGZ
KOR,.055424523,.075867742,.049045697,-.51472771,.42310882,-.33942088,.011158723,-.074337356,.061747428,-.0054448843,.018074788,.018074788,.023808498,.30866823,.019725431,.0042312741,.019922333,.014991803,.010838831,.0050406265,.015879458,.68256938,.018074788,.0030171664,.018140607,-.015057622,.000065818233,.00002542519,.00002540358,.010838831,KOR
KWT,.14890103,-.015630703,-.007350638,-.10103431,.58873546,-.23395193,.054177184,.027729722,.051347461,.0032451199,-.0014036986,-.0014036986,.044606972,.085316181,.040785924,.0061978209,.05057865,.0011752095,.000093039445,.010154007,.010247046,.0090796361,-.0014036986,-9.4656052e-06,-.0011846751,.001394233,.00021902342,.00010305807,.00010305588,.000093039445,KWT
LAO,-.067987829,.43198255,.33232686,.21804845,-.80526453,-.46395022,.025816632,.33096066,.089835837,.0086311931,-.00078011502,-.00078011502,.0063129626,.41660386,.034793459,.0028408931,.035253011,.037950832,.031403773,.0082311332,.039634906,.79232615,-.00078011502,-.039558407,.000047344009,-.038778294,.00082745904,.000067169931,.000067066867,.030518254,LAO
LTU,-.55848116,-.45120516,.23009619,-.38984478,.17659739,.20281039,-.0026154129,.037923891,.037985016,-.0069949445,.035085067,.035085067,.023587119,.27765343,.013871189,.024401123,.023808599,.019727698,.014993549,.0055122143,.020505764,.73118705,.035085067,.054850064,.03504777,.019764995,-.000037297352,.00002983127,.000030383117,.014993549,LTU
MAR,-.25227508,-.27828735,.36257133,-.024563365,-.32966429,-.0057302411,.016103048,-.010509908,.049150195,-.0014226574,.0064797048,.0064797048,.013648764,.13214892,.01153718,.0054281,.039071448,.0080336332,.0035386386,.0079294257,.011468065,.30856457,.0064797048,.014770906,.0062221363,.0082912017,-.00025756864,.00006277248,.000062809457,.0035386386,MAR
MEX,-.378562,.18329954,.71158975,.12891513,.41007689,.12057799,.026116647,.006051586,.029657412,-.0020657687,.00046409538,.00046409538,.0090179779,.04398293,.0061397413,.0034357067,.023177275,.0029783915,.0010443402,.0046679205,.0057122605,.18282434,.00046409538,.003772011,.00013457119,.0033079158,-.00032952419,.000021687614,.000021680893,.0010443402,MEX
MKD,.42683256,-.61481541,-.078428946,.08488819,.42186159,-.36351836,.00014469944,.010901713,.0093938615,-.0064443853,,,.044736166,.14919925,.0086575057,.023220195,,.0030151673,,,,,,,,-.0031186412,-.0001034738,,,,MKD
MNG,.02028838,.29300103,-.51613712,.027154131,-.140232,.11641408,.022059368,.06047792,.037891403,-.0010226277,.021218568,.021218568,.01832925,.061932262,.021256488,.017393198,.022655403,.003012846,.0010060148,.0045765261,.0055825408,.18020733,.021218568,.024405593,.021392748,.0031870257,.00017417976,.000021007629,.000020914253,.0010060148,MNG
MOZ,.30642018,-.11617819,.044778593,-.5083648,.026464427,-.56028259,.020290669,.17049643,.046844598,.030579401,.047313958,.047313958,.0039053219,.26488996,.020203682,.04218708,.035540696,.034997169,.030518254,.0081162574,.038634513,.78992212,.047313958,.085197531,.050200362,.037883569,.0028864031,.000057460631,.000057542311,.030518254,MOZ
MRT,.12353396,.80035007,.18203172,.24294135,-.54174101,-.028280482,.025051493,-.01273174,.03952742,-.0013592885,-.0039438708,-.0039438708,.0026617802,.235664,.025552692,.0012783876,.059500892,.056035608,.045242961,.012131351,.057374313,.78855777,-.0039438708,-.060020562,-.0039027871,-.056076691,.000041083753,.00014721639,.000147168,.030518254,MRT
MYS,.56585091,-.28677356,-.36194694,.50680286,.61905509,-.48076954,.025523387,.022032229,.045016937,-.0015341777,.0061059166,.0061059166,.023655867,.036922272,.032509297,.0027525425,.037280306,.0004125103,.000012052402,.0074652196,.0074772723,.0016118715,.0061059166,.0056752255,.0061240974,-.00043069106,.000018180755,.000055724104,.000055729175,.000012052402,MYS
NAM,.05434813,-.074626639,-.21041948,.3870874,.38057667,-.033796169,.025778849,.038775597,.052117519,-.0020781665,.006042229,.006042229,.018878771,.20335236,.014432531,.02344602,.031301081,-.000018331037,-1.3068703e-06,.0065823155,.0065810089,-.00019858207,.006042229,.0060607027,.0060790339,.000018473729,.000036804766,.000043309337,.000043325526,-1.3068703e-06,NAM
NER,-.027030692,.13910241,-.36346018,-.4307735,.14447477,.19197951,.03529292,-.028541908,.018451337,.0075039314,.012877652,.012877652,.0036715658,.37692991,.01933698,.015771125,.040080037,.076803222,.071152642,.0094596185,.080612257,.88265288,.012877652,.093000576,.01619735,.080122918,.0033196965,.000078654244,.000078463992,.030518254,NER
NGA,.37394261,.0054371911,-.15576282,-.36706826,-.41444689,-.16644056,.0266998,.01644318,.017048631,.00085904048,.023966141,.023966141,.018450188,.084513403,.013294904,.0018053689,.035789434,.00093710638,.0000749135,.0072084526,.0072833663,.01028556,.023966141,.02501368,.024076574,.0010475381,.00011043173,.000051950086,.000051949595,.0000749135,NGA
NIC,-.48566303,.16054024,.68657535,.04422836,.089769714,-.19501366,.040505074,.039897189,.028700881,-.0015196525,.0013324303,.0013324303,.015647313,.24173605,.007479785,.0070109922,.0113887,.02137051,.018656567,.0033425102,.021999076,.84806132,.0013324303,.023077965,.00095740508,.021745535,-.00037502521,.000011091063,.000011031731,.018656567,NIC
NLD,-.3174119,.57957751,-.22960341,-.36401603,.77057445,-.09304288,.016238762,.0014092051,.028254235,-.00071255059,.0068587177,.0068587177,.012773779,.082602166,.0087171718,.0049224724,.0074534127,.0025746697,.0015309483,.0017134142,.0032443625,.47187954,.0068587177,.0096104238,.0066816811,.0027517062,-.00017703642,2.9540013e-06,2.9044463e-06,.0015309483,NLD
NOR,-.098961331,-.14887771,.16948999,-.18771276,.79368711,.32231098,.014534666,.069238797,.031299587,.0019028324,.0032963536,.0032963536,.016162382,.3925398,.010005206,.051139392,.017106103,-.00036181591,-.00021897173,.0062300158,.0060110441,-.036428235,.0032963536,.00023770229,-.00012411362,-.0030586512,-.0034204673,.000026777301,.0000271135,-.00021897173,NOR
NZL,-.083551191,.10246224,-.13508405,-.10695603,.55638081,-.060462169,.020649198,.030901529,.038480591,-.0098780533,.0035628302,.0035628302,.011498575,.17136276,.0065340898,.021802034,.013335272,.0039109276,.0021646221,.0031947568,.0053593786,.40389422,.0035628302,.0078697028,.0031668853,.0043068724,-.00039594484,.000010173792,.000010049698,.0021646221,NZL
OMN,-.046946414,-.32974419,.0013767086,-.29019752,.73814917,-.23437075,.029594891,-.0046318998,.058244463,.011686077,,,.032177042,.04088081,.029793587,.020620856,,-.00055213296,,,,,,,,.00061886717,.0011710002,,,,OMN
PAN,.26381886,-.14287062,-.026157757,.23948932,.21558742,.075486496,.03808127,.11362007,.048835456,.0081718704,.0098839272,.0098839272,.033052336,.33261108,.02402281,.049310077,.022114757,.0053707454,.0021857016,.0055341283,.0077198297,.2831282,.0098839272,.0044806176,.0098513626,-.0054033096,-.00003256421,.000030400015,.000030625513,.0021857016,PAN
